day,status,runtime_s,events,depth,trades,mark,ticker,open_interest,liquidations,out_of_order,duplicates,outside_window,final_id_nonmonotonic,prev_id_mismatch,book_checks,book_crossed,book_missing_side,spread_min,spread_mean,spread_max,strict_book,strict_guard_resets,strict_guard_mismatch_trips,strict_guard_cross_trips,strict_guard_missing_side_trips,strict_guard_spread_trips,strict_guard_stale_trips,strict_blocked_submits,strict_blocked_submit_reason,fills,round_trips,win_rate,net_pnl_usdt,gross_pnl_usdt,fees_usdt,realized_pnl_usdt,fees_paid_usdt,max_drawdown_usdt,eq_min,eq_max,error
2025-07-20,OK,884.665,2762630,844954,1748763,86368,81493,287,765,0,1253403,0,0,4,168,0,0,0.09999999999126885,0.10535714285634597,1.0,True,4,4,0,0,0,0,0,{},60,59,0.11864406779661017,-6.984909000000006,-0.020600000000007057,6.964308999999999,-6.984976547413413,6.964308999999999,-7.4528035474133905,-7.406998597413396,0.04580494999999418,
2025-07-21,OK,1216.506,3880742,847221,2860944,86338,84728,278,1233,0,2115178,0,0,4,169,0,0,0.09999999999126885,0.10473372781140862,0.5,True,4,4,0,0,0,0,0,{},52,51,0.19607843137254902,-5.753827000000017,0.2611999999999821,6.015026999999999,-5.730061370000017,6.015026999999999,-6.88254927869999,-5.758170509130015,1.1243787695699747,
2025-07-22,OK,1395.308,4694315,1212312,3308933,86244,85155,288,1383,0,2422986,0,0,21,242,0,0,0.09999999999126885,0.11198347107578725,2.099999999991269,True,21,21,0,0,0,0,0,{},50,49,0.2857142857142857,-6.159272199999981,-0.35239999999997984,5.806872200000001,-6.135586269999981,5.806872200000001,-7.109136010579964,-6.193349210579975,0.9157867999999884,
2025-07-23,OK,1295.613,4315685,1664958,2478071,86363,84742,288,1263,0,1796157,0,0,5,332,0,0,0.09999999999126885,0.10271084337416897,0.6999999999970896,True,5,5,0,0,0,0,0,{},68,67,0.14925373134328357,-10.544968049999996,-2.6164999999999976,7.928468049999998,-10.544988438445285,7.928468049999998,-11.061994598585281,-10.604835698585287,0.45715889999999426,
2025-07-24,OK,1291.867,4405404,1666209,2567222,86400,84182,287,1104,0,1876699,0,0,1,333,0,0,0.09999999999126885,0.10000000000062054,0.10000000000582077,True,1,1,0,0,0,0,0,{},49,48,0.16666666666666666,-4.211572100000055,1.4797999999999458,5.691372100000001,-4.235316310000055,5.691372100000001,-4.3557917114500775,-4.216812711450062,0.13897900000001462,
