day,status,runtime_s,events,depth,trades,mark,ticker,open_interest,liquidations,out_of_order,duplicates,outside_window,final_id_nonmonotonic,prev_id_mismatch,book_checks,book_crossed,book_missing_side,spread_min,spread_mean,spread_max,fills,round_trips,win_rate,net_pnl_usdt,gross_pnl_usdt,fees_usdt,realized_pnl_usdt,fees_paid_usdt,max_drawdown_usdt,eq_min,eq_max,error
2025-07-11,OK,1262.277,4503589,846918,3482374,86400,85468,287,2142,0,2413504,0,0,0,169,0,0,0.09999999999126885,0.11893491124332684,2.3000000000029104,46,45,0.2,-4.157344049999997,1.1243000000000043,5.2816440500000015,-4.133902027869563,5.2816440500000015,-5.2425076169995855,-4.222487716999557,1.0200199000000287,
2025-07-12,OK,679.867,2343644,843654,1330840,86304,81971,288,587,0,884180,0,0,0,168,0,0,0.09999999999126885,0.10059523809606963,0.20000000001164153,53,52,0.1346153846153846,-7.301469699999976,-1.1873999999999771,6.114069699999999,-7.277993179999976,6.114069699999999,-7.276662305359982,-7.276662305359982,0.0,
2025-07-13,OK,774.629,2826144,844281,1811385,86400,83034,287,757,0,1227145,0,0,0,168,0,0,0.09999999999126885,0.10000000000071027,0.10000000000582077,60,59,0.13559322033898305,-8.009787450000056,-1.0359000000000567,6.973887449999999,-7.9861305448678115,6.973887449999999,-8.413830916607813,-8.413830916607813,0.0,
2025-07-14,OK,1259.831,5056885,846944,4036635,86400,85084,287,1535,0,2879797,0,0,0,169,0,0,0.09999999999126885,0.178698224852226,13.19999999999709,49,48,0.25,-3.3452864999999963,2.452600000000004,5.797886499999999,-3.345572085768112,5.797886499999999,-6.1488322183781,-3.313271861128106,2.8355603572499946,
2025-07-15,OK,1452.646,5760806,847584,4738956,86390,85605,287,1984,0,3506136,0,0,4,169,2,0,0.09999999999126885,0.11856287425229867,2.8999999999941792,55,54,0.2222222222222222,-6.765900500000022,-0.43660000000002075,6.329300500000001,-6.765861404877558,6.329300500000001,-7.71163498893757,-6.8364201113975565,0.8752148775400139,
2025-07-16,OK,1191.639,4180967,847021,3161399,85719,85079,287,1462,0,2308970,0,0,0,169,0,0,0.09999999999126885,0.09999999999987945,0.10000000000582077,53,52,0.21153846153846154,-6.034995549999948,0.1349000000000533,6.1698955500000014,-6.035082570586905,6.1698955500000014,-7.014546008266899,-6.7856745133369,0.22887149492999864,
2025-07-17,OK,1249.48,4320381,846809,3299999,86398,85189,288,1698,0,2473975,0,0,2,169,1,0,0.09999999999126885,0.11071428571484007,0.9000000000087311,41,40,0.3,-1.5586270499999895,3.1907000000000094,4.749327049999999,-1.5823434218478152,4.749327049999999,-3.6721475718478036,-3.591088321847815,0.08105924999998848,
2025-07-18,OK,1302.439,4390633,848255,3368813,86400,85200,288,1677,0,2512781,0,0,0,169,0,0,0.09999999999126885,0.15917159763301555,4.0,50,49,0.1836734693877551,-7.686511399999914,-1.8565999999999159,5.8299113999999985,-7.686360932027088,5.8299113999999985,-8.760585742897085,-7.770951492897085,0.98963425,
2025-07-19,OK,739.003,2261528,844592,1248135,86382,81715,287,417,0,840793,0,0,2,168,3,0,0.09999999999126885,0.10000000000061736,0.10000000000582077,49,48,0.125,-6.3005405,-0.634999999999998,5.665540500000002,-6.276923343616015,5.665540500000002,-6.479645420426017,-6.243287070426014,0.23635835000000288,
2025-07-20,OK,852.611,2762630,844954,1748763,86368,81493,287,765,0,1253403,0,0,4,168,32,0,0.09999999999126885,0.0999999999992938,0.10000000000582077,60,59,0.23728813559322035,-1.5654200999999648,5.401600000000036,6.9670201,-1.5654876474133714,6.9670201,-7.155327332923418,-7.109522382923425,0.04580494999999418,
2025-07-21,OK,1142.545,3880742,847221,2860944,86338,84728,278,1233,0,2115178,0,0,4,169,8,0,0.09999999999126885,0.10496894410006581,0.5,52,51,0.23529411764705882,-5.1174755999999935,0.8976000000000037,6.015075599999998,-5.093709969999994,6.015075599999998,-6.347644439569978,-5.223265670000003,1.1243787695699747,
2025-07-22,OK,1356.512,4694315,1212312,3308933,86244,85155,288,1383,0,2422986,0,0,21,242,234,0,0.09999999999126885,0.10000000000218279,0.10000000000582077,50,49,1.0,111.10992124999981,116.85849999999985,5.748578750000003,111.13360717999981,5.748578750000003,-1.1417999999999884,-0.3176552154799998,107.69617582999982,
2025-07-23,OK,1227.99,4315685,1664958,2478071,86363,84742,288,1263,0,1796157,0,0,5,332,4,0,0.09999999999126885,0.10274390243963663,0.6999999999970896,68,67,0.14925373134328357,-10.544968049999996,-2.6164999999999976,7.928468049999998,-10.544988438445285,7.928468049999998,-11.061994598585281,-10.604835698585287,0.45715889999999426,
2025-07-24,OK,1227.945,4405404,1666209,2567222,86400,84182,287,1104,0,1876699,0,0,1,333,1,0,0.09999999999126885,0.1000000000006487,0.10000000000582077,49,48,0.16666666666666666,-4.211572100000055,1.4797999999999458,5.691372100000001,-4.235316310000055,5.691372100000001,-4.3557917114500775,-4.216812711450062,0.13897900000001462,
2025-07-25,OK,1574.748,6325838,1668905,4483013,86397,85537,288,1698,0,3347410,0,0,2,333,0,0,0.09999999999126885,0.10270270270339316,1.0,45,44,0.22727272727272727,-3.9925587500000392,1.1150999999999625,5.107658750000001,-3.992596533779024,5.107658750000001,-7.312929783779028,-4.257804833779025,3.055124950000003,
2025-07-26,OK,777.203,2990668,1659658,1160761,86400,83277,287,285,0,722125,0,0,0,331,0,0,0.09999999999126885,0.10000000000041326,0.10000000000582077,64,63,0.07936507936507936,-8.23703314999995,-0.8206999999999534,7.416333149999997,-8.260573311690532,7.416333149999997,-8.488205265310526,-8.418319245020529,0.06988602028999771,
2025-07-27,OK,882.978,3359435,1660217,1529121,86400,82609,287,801,0,1030644,0,0,0,332,0,0,0.09999999999126885,0.10150602409703424,0.6000000000058208,61,60,0.11666666666666667,-7.661712450000005,-0.554300000000004,7.107412450000001,-7.661761821843122,7.107412450000001,-7.969799071843114,-7.8648887218431165,0.1049103499999971,
2025-07-28,OK,1235.538,4203226,1664124,2367371,86399,84078,287,967,0,1725821,0,0,2,332,0,0,0.09999999999126885,0.10481927710892465,1.6999999999970896,56,55,0.12727272727272726,-9.284551049999925,-2.7636999999999254,6.520851049999999,-9.284623808118008,6.520851049999999,-9.348629707398016,-9.228803058118004,0.11982664928001263,
2025-07-29,OK,1223.192,4388059,1665223,2551342,86396,83907,287,904,0,1887657,0,0,3,333,36,0,0.09999999999126885,0.1212121212121702,5.600000000005821,55,54,0.2222222222222222,-5.665535750000073,0.7166999999999266,6.3822357499999995,-5.665686236173261,6.3822357499999995,-5.924162085413243,-5.651737736173263,0.27242434923998005,
2025-07-30,OK,1261.358,4530159,1664922,2694158,86399,83481,287,912,0,2023983,0,0,2,332,0,0,0.09999999999126885,0.10150602409699042,0.5999999999912689,47,46,0.21739130434782608,-4.927376450000002,0.4876999999999958,5.415076449999998,-4.903773140000002,5.415076449999998,-5.836249890000003,-5.808435740000012,0.027814149999991267,
